title,base_price,os_support,discount,release,genres,dlc,developer,publisher,features,total_review,storage,metacritic,sum_rating
SONG OF HORROR COMPLETE EDITION,0,win,-60%,"31 Oct, 2019",Adventure,no,Protocol Games,Protocol Games,"Single-player, Steam Achievements, Full controller support, Steam Cloud",1464,25.0,,Mixed
Trine 2: Complete Story,0,"win, mac, linux",-75%,"6 Jun, 2013","Action, Adventure, Indie",no,Frozenbyte,Frozenbyte,"Single-player, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",14291,,84,Very Positive
Eco,245999,win,,"6 Feb, 2018","Indie, Simulation, Early Access",no,Strange Loop Games,Strange Loop Games,"Single-player, Online Co-op, LAN Co-op",8791,8.0,,Very Positive
ACE COMBAT™ 7: SKIES UNKNOWN,550000,win,,"31 Jan, 2019","Action, Simulation",no,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"Single-player, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",27430,50.0,78,Very Positive
Marvel's Guardians of the Galaxy,879000,win,,"26 Oct, 2021","Action, Adventure",no,Eidos-Montréal,Eidos-Montréal,"Single-player, Steam Achievements, Full controller support, Steam Cloud",21495,80.0,,Very Positive
Viscera Cleanup Detail,109999,"win, mac",,"23 Oct, 2015","Indie, Simulation",no,RuneStorm,RuneStorm,"Single-player, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together",13699,5.0,,Overwhelmingly Positive
RISK: Global Domination,0,"win, mac",,"19 Feb, 2020","Casual, Free to Play, Strategy",no,SMG Studio,SMG Studio,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play Together",31265,,,Mostly Positive
Street Fighter V,288999,win,,"15 Feb, 2016",Action,no,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",26102,,89,Very Positive
SpiderHeck,0,win,-35%,"22 Sep, 2022","Action, Indie",no,Neverjam,tinyBuild,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Full controller support, Remote Play Together",1459,,,Very Positive
SPORE™,239000,win,,"19 Dec, 2008","Action, Adventure, Casual, RPG, Simulation, Strategy",no,Maxis™,Maxis™,"Single-player, Steam Trading Cards",47070,,84,Very Positive
Apex Point,106999,win,,"4 Mar, 2023","Indie, Racing, Simulation, Early Access",no,Apex Studio,Apex Studio,"Single-player, Partial Controller Support",942,15.0,,Very Positive
The Jackbox Party Pack 2,0,"win, mac, linux",-55%,"13 Oct, 2015","Casual, Indie, Strategy",no,"Jackbox Games, Inc.","Jackbox Games, Inc.","Single-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together",1234,,,Very Positive
